Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «3д модель подставка», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;1 801;0,000016;
октябрь 2023;2 093;0,000017;
ноябрь 2023;2 463;0,000020;
декабрь 2023;2 761;0,000023;
январь 2024;3 317;0,000027;
февраль 2024;3 558;0,000031;
март 2024;3 529;0,000030;
апрель 2024;2 946;0,000027;
май 2024;2 969;0,000027;
июнь 2024;2 488;0,000026;
июль 2024;2 543;0,000027;
август 2024;3 124;0,000033;
сентябрь 2024;3 330;0,000033;
октябрь 2024;4 526;0,000040;
ноябрь 2024;5 062;0,000043;
декабрь 2024;6 184;0,000051;
январь 2025;7 008;0,000059;
февраль 2025;7 207;0,000063;
март 2025;6 658;0,000055;
апрель 2025;5 782;0,000050;
май 2025;5 317;0,000049;
июнь 2025;4 993;0,000048;
июль 2025;5 863;0,000055;
август 2025;6 498;0,000062;
сентябрь 2025;7 871;0,000068;
