Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «3д модели 2», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;2 486;0,000023;
октябрь 2023;3 063;0,000025;
ноябрь 2023;3 367;0,000028;
декабрь 2023;3 152;0,000026;
январь 2024;3 359;0,000027;
февраль 2024;3 351;0,000029;
март 2024;3 615;0,000031;
апрель 2024;3 310;0,000030;
май 2024;3 111;0,000029;
июнь 2024;2 863;0,000030;
июль 2024;2 909;0,000031;
август 2024;2 940;0,000031;
сентябрь 2024;3 226;0,000032;
октябрь 2024;3 919;0,000034;
ноябрь 2024;4 113;0,000035;
декабрь 2024;4 608;0,000038;
январь 2025;4 917;0,000041;
февраль 2025;5 128;0,000044;
март 2025;4 874;0,000040;
апрель 2025;4 776;0,000041;
май 2025;4 280;0,000040;
июнь 2025;4 268;0,000041;
июль 2025;4 283;0,000040;
август 2025;4 329;0,000041;
сентябрь 2025;4 844;0,000042;
