Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «3д модели скачать бесплатно», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;13 490;0,00012;
октябрь 2023;16 784;0,00014;
ноябрь 2023;17 694;0,00015;
декабрь 2023;17 882;0,00014;
январь 2024;17 262;0,00014;
февраль 2024;17 504;0,00015;
март 2024;17 055;0,00014;
апрель 2024;15 200;0,00014;
май 2024;14 766;0,00013;
июнь 2024;12 468;0,00013;
июль 2024;11 152;0,00011;
август 2024;11 248;0,00012;
сентябрь 2024;13 253;0,00013;
октябрь 2024;15 590;0,00013;
ноябрь 2024;17 686;0,00015;
декабрь 2024;18 825;0,00015;
январь 2025;17 611;0,00014;
февраль 2025;18 137;0,00015;
март 2025;17 589;0,00014;
апрель 2025;16 657;0,00014;
май 2025;16 027;0,00015;
июнь 2025;14 873;0,00014;
июль 2025;15 041;0,00014;
август 2025;15 410;0,00014;
сентябрь 2025;18 136;0,00015;
