Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «3д модели для 3д принтера», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;21 226;0,00019;
октябрь 2023;25 708;0,00021;
ноябрь 2023;28 152;0,00023;
декабрь 2023;31 175;0,00026;
январь 2024;37 673;0,00031;
февраль 2024;37 396;0,00033;
март 2024;36 399;0,00031;
апрель 2024;29 422;0,00027;
май 2024;28 079;0,00026;
июнь 2024;23 493;0,00025;
июль 2024;24 404;0,00026;
август 2024;27 090;0,00028;
сентябрь 2024;32 778;0,00032;
октябрь 2024;39 306;0,00035;
ноябрь 2024;45 989;0,00039;
декабрь 2024;53 766;0,00044;
январь 2025;56 163;0,00047;
февраль 2025;53 259;0,00046;
март 2025;50 813;0,00042;
апрель 2025;46 638;0,00040;
май 2025;39 635;0,00037;
июнь 2025;40 885;0,00039;
июль 2025;44 578;0,00042;
август 2025;51 336;0,00049;
сентябрь 2025;61 596;0,00053;
