Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «3д модели для печати», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;9 977;0,000092;
октябрь 2023;12 162;0,000101;
ноябрь 2023;13 714;0,000116;
декабрь 2023;14 712;0,000123;
январь 2024;15 342;0,000127;
февраль 2024;15 965;0,000142;
март 2024;15 633;0,000135;
апрель 2024;13 097;0,000120;
май 2024;13 538;0,000127;
июнь 2024;11 568;0,000123;
июль 2024;11 558;0,000124;
август 2024;12 295;0,000131;
сентябрь 2024;14 929;0,000150;
октябрь 2024;19 572;0,000174;
ноябрь 2024;23 351;0,000200;
декабрь 2024;25 954;0,000216;
январь 2025;28 370;0,000239;
февраль 2025;24 527;0,000214;
март 2025;24 003;0,000200;
апрель 2025;23 013;0,000201;
май 2025;21 201;0,000198;
июнь 2025;20 330;0,000196;
июль 2025;22 656;0,000213;
август 2025;24 543;0,000235;
сентябрь 2025;30 731;0,000269;
