Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «3д модели stl», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;2 823;0,000026;
октябрь 2023;3 613;0,000030;
ноябрь 2023;3 853;0,000032;
декабрь 2023;3 734;0,000031;
январь 2024;4 842;0,000040;
февраль 2024;5 024;0,000044;
март 2024;4 498;0,000039;
апрель 2024;3 841;0,000035;
май 2024;3 743;0,000035;
июнь 2024;3 164;0,000033;
июль 2024;3 168;0,000034;
август 2024;3 613;0,000038;
сентябрь 2024;3 992;0,000040;
октябрь 2024;4 941;0,000044;
ноябрь 2024;6 042;0,000051;
декабрь 2024;7 360;0,000061;
январь 2025;7 010;0,000059;
февраль 2025;7 296;0,000063;
март 2025;7 221;0,000060;
апрель 2025;6 848;0,000060;
май 2025;5 782;0,000054;
июнь 2025;5 135;0,000049;
июль 2025;5 530;0,000052;
август 2025;5 491;0,000052;
сентябрь 2025;6 881;0,000060;
