Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «3д модель машины», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;2 619;0,000024;
октябрь 2023;3 075;0,000025;
ноябрь 2023;2 927;0,000024;
декабрь 2023;3 201;0,000026;
январь 2024;3 193;0,000026;
февраль 2024;3 300;0,000029;
март 2024;3 399;0,000029;
апрель 2024;2 874;0,000026;
май 2024;2 605;0,000024;
июнь 2024;2 324;0,000024;
июль 2024;2 201;0,000023;
август 2024;2 606;0,000027;
сентябрь 2024;2 642;0,000026;
октябрь 2024;3 372;0,000030;
ноябрь 2024;3 733;0,000032;
декабрь 2024;3 937;0,000032;
январь 2025;4 226;0,000035;
февраль 2025;4 215;0,000036;
март 2025;3 848;0,000032;
апрель 2025;3 757;0,000032;
май 2025;3 409;0,000031;
июнь 2025;3 134;0,000030;
июль 2025;3 282;0,000030;
август 2025;3 386;0,000032;
сентябрь 2025;4 940;0,000043;
