Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «скачать 3д модель», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;45 635;0,00042;
октябрь 2023;57 099;0,00047;
ноябрь 2023;61 722;0,00052;
декабрь 2023;60 705;0,00050;
январь 2024;58 426;0,00048;
февраль 2024;59 878;0,00053;
март 2024;59 392;0,00051;
апрель 2024;52 903;0,00048;
май 2024;51 835;0,00048;
июнь 2024;45 939;0,00049;
июль 2024;40 987;0,00044;
август 2024;42 177;0,00045;
сентябрь 2024;44 032;0,00044;
октябрь 2024;54 317;0,00048;
ноябрь 2024;61 230;0,00052;
декабрь 2024;65 610;0,00054;
январь 2025;62 858;0,00052;
февраль 2025;64 059;0,00056;
март 2025;64 908;0,00054;
апрель 2025;60 314;0,00052;
май 2025;57 060;0,00053;
июнь 2025;55 788;0,00053;
июль 2025;53 631;0,00050;
август 2025;55 463;0,00053;
сентябрь 2025;62 236;0,00054;
