Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «скачать 3д модель для 3д принтера», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;3 127;0,000029;
октябрь 2023;4 037;0,000033;
ноябрь 2023;4 547;0,000038;
декабрь 2023;4 510;0,000037;
январь 2024;6 160;0,000051;
февраль 2024;6 476;0,000057;
март 2024;5 661;0,000049;
апрель 2024;4 115;0,000037;
май 2024;4 076;0,000038;
июнь 2024;3 057;0,000032;
июль 2024;3 336;0,000035;
август 2024;3 610;0,000038;
сентябрь 2024;4 724;0,000047;
октябрь 2024;5 206;0,000046;
ноябрь 2024;6 503;0,000055;
декабрь 2024;7 521;0,000062;
январь 2025;8 004;0,000067;
февраль 2025;7 295;0,000063;
март 2025;6 547;0,000054;
апрель 2025;6 328;0,000055;
май 2025;5 605;0,000052;
июнь 2025;5 423;0,000052;
июль 2025;6 126;0,000057;
август 2025;6 468;0,000062;
сентябрь 2025;8 146;0,000071;
