Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «бесплатные 3д модели», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;21 788;0,00020;
октябрь 2023;27 004;0,00022;
ноябрь 2023;28 587;0,00024;
декабрь 2023;28 972;0,00024;
январь 2024;28 940;0,00024;
февраль 2024;29 192;0,00025;
март 2024;29 017;0,00025;
апрель 2024;26 307;0,00024;
май 2024;25 257;0,00023;
июнь 2024;21 531;0,00023;
июль 2024;19 479;0,00020;
август 2024;19 397;0,00020;
сентябрь 2024;22 932;0,00023;
октябрь 2024;27 642;0,00024;
ноябрь 2024;30 945;0,00026;
декабрь 2024;33 975;0,00028;
январь 2025;32 899;0,00027;
февраль 2025;33 706;0,00029;
март 2025;33 810;0,00028;
апрель 2025;32 000;0,00028;
май 2025;30 376;0,00028;
июнь 2025;27 920;0,00026;
июль 2025;27 518;0,00025;
август 2025;28 301;0,00027;
сентябрь 2025;33 611;0,00029;
