Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «бесплатные модели для 3д принтера», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;2 433;0,000022;
октябрь 2023;2 860;0,000023;
ноябрь 2023;3 244;0,000027;
декабрь 2023;3 549;0,000029;
январь 2024;5 190;0,000043;
февраль 2024;5 092;0,000045;
март 2024;4 866;0,000042;
апрель 2024;3 628;0,000033;
май 2024;3 530;0,000033;
июнь 2024;2 753;0,000029;
июль 2024;2 735;0,000029;
август 2024;3 023;0,000032;
сентябрь 2024;4 261;0,000042;
октябрь 2024;4 568;0,000040;
ноябрь 2024;5 807;0,000049;
декабрь 2024;6 541;0,000054;
январь 2025;7 229;0,000060;
февраль 2025;7 194;0,000063;
март 2025;6 589;0,000054;
апрель 2025;5 925;0,000052;
май 2025;5 689;0,000053;
июнь 2025;5 130;0,000049;
июль 2025;5 799;0,000054;
август 2025;6 318;0,000060;
сентябрь 2025;7 852;0,000068;
