Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «держатель 3д модель», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;1 413;0,000013;
октябрь 2023;1 678;0,000014;
ноябрь 2023;1 670;0,000014;
декабрь 2023;1 794;0,000015;
январь 2024;2 274;0,000018;
февраль 2024;2 495;0,000022;
март 2024;2 638;0,000022;
апрель 2024;2 629;0,000024;
май 2024;2 482;0,000023;
июнь 2024;2 313;0,000024;
июль 2024;2 207;0,000023;
август 2024;2 534;0,000027;
сентябрь 2024;2 639;0,000026;
октябрь 2024;3 328;0,000029;
ноябрь 2024;3 633;0,000031;
декабрь 2024;4 151;0,000034;
январь 2025;5 070;0,000042;
февраль 2025;5 048;0,000044;
март 2025;4 888;0,000040;
апрель 2025;5 000;0,000043;
май 2025;4 939;0,000046;
июнь 2025;5 360;0,000051;
июль 2025;6 205;0,000058;
август 2025;6 078;0,000058;
сентябрь 2025;7 357;0,000064;
