Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «модели для печати на 3д принтере», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;2 035;0,000018;
октябрь 2023;2 450;0,000020;
ноябрь 2023;2 718;0,000023;
декабрь 2023;2 518;0,000021;
январь 2024;2 876;0,000023;
февраль 2024;2 988;0,000026;
март 2024;3 001;0,000026;
апрель 2024;2 427;0,000022;
май 2024;2 631;0,000024;
июнь 2024;2 100;0,000022;
июль 2024;2 247;0,000024;
август 2024;2 040;0,000021;
сентябрь 2024;2 643;0,000026;
октябрь 2024;3 378;0,000030;
ноябрь 2024;4 185;0,000035;
декабрь 2024;4 744;0,000039;
январь 2025;5 113;0,000043;
февраль 2025;4 534;0,000039;
март 2025;3 800;0,000031;
апрель 2025;3 617;0,000031;
май 2025;3 377;0,000031;
июнь 2025;3 670;0,000035;
июль 2025;3 811;0,000035;
август 2025;4 297;0,000041;
сентябрь 2025;5 284;0,000046;
