Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «3д модель человека», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;5 399;0,000050;
октябрь 2023;6 401;0,000053;
ноябрь 2023;6 288;0,000053;
декабрь 2023;6 474;0,000054;
январь 2024;6 783;0,000056;
февраль 2024;6 527;0,000058;
март 2024;6 237;0,000054;
апрель 2024;5 542;0,000051;
май 2024;5 232;0,000049;
июнь 2024;4 774;0,000051;
июль 2024;4 884;0,000052;
август 2024;4 952;0,000052;
сентябрь 2024;5 188;0,000052;
октябрь 2024;6 076;0,000054;
ноябрь 2024;6 573;0,000056;
декабрь 2024;6 584;0,000054;
январь 2025;7 195;0,000060;
февраль 2025;10 589;0,000092;
март 2025;8 380;0,000069;
апрель 2025;7 626;0,000066;
май 2025;6 482;0,000060;
июнь 2025;19 121;0,000184;
июль 2025;9 210;0,000086;
август 2025;9 071;0,000087;
сентябрь 2025;6 851;0,000059;
