Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «телефон 3д модель», по месяцам, 01.09.2023 — 30.09.2025, все регионы, все устройства
сентябрь 2023;1 787;0,000016;
октябрь 2023;2 199;0,000018;
ноябрь 2023;2 187;0,000018;
декабрь 2023;2 464;0,000020;
январь 2024;2 496;0,000020;
февраль 2024;2 699;0,000024;
март 2024;2 509;0,000021;
апрель 2024;2 030;0,000018;
май 2024;1 965;0,000018;
июнь 2024;1 659;0,000017;
июль 2024;1 723;0,000018;
август 2024;2 032;0,000021;
сентябрь 2024;2 188;0,000022;
октябрь 2024;2 799;0,000024;
ноябрь 2024;3 097;0,000026;
декабрь 2024;3 468;0,000028;
январь 2025;3 905;0,000032;
февраль 2025;4 192;0,000036;
март 2025;3 748;0,000031;
апрель 2025;3 455;0,000030;
май 2025;3 400;0,000031;
июнь 2025;3 269;0,000031;
июль 2025;3 466;0,000032;
август 2025;3 392;0,000032;
сентябрь 2025;4 121;0,000036;
